X,CH1,CH2,
Second,Volt,Volt,
2.13872e-04,2.72e+00,-2.40e-01,
2.13874e-04,2.64e+00,-1.80e-01,
2.13876e-04,2.56e+00,-4.00e-02,
2.13878e-04,2.48e+00,1.80e-01,
2.13880e-04,2.64e+00,3.60e-01,
2.13882e-04,2.56e+00,4.20e-01,
2.13884e-04,2.48e+00,4.00e-01,
2.13886e-04,2.40e+00,4.20e-01,
2.13888e-04,2.48e+00,3.60e-01,
2.13890e-04,2.48e+00,3.20e-01,
2.13892e-04,2.40e+00,3.00e-01,
2.13894e-04,2.40e+00,2.80e-01,
2.13896e-04,2.56e+00,1.20e-01,
2.13898e-04,2.64e+00,-2.00e-01,
2.13900e-04,2.64e+00,-4.20e-01,
2.13902e-04,2.56e+00,-4.80e-01,
2.13904e-04,2.56e+00,-4.40e-01,
2.13906e-04,2.72e+00,-3.80e-01,
2.13908e-04,2.80e+00,-3.20e-01,
2.13910e-04,2.64e+00,-2.00e-01,
2.13912e-04,2.56e+00,-4.00e-02,
2.13914e-04,2.48e+00,1.40e-01,
2.13916e-04,2.56e+00,3.60e-01,
2.13918e-04,2.56e+00,4.20e-01,
2.13920e-04,2.56e+00,4.20e-01,
2.13922e-04,2.56e+00,4.20e-01,
2.13924e-04,2.40e+00,3.60e-01,
2.13926e-04,2.40e+00,3.20e-01,
2.13928e-04,2.40e+00,3.00e-01,
2.13930e-04,2.48e+00,3.20e-01,
2.13932e-04,2.56e+00,1.80e-01,
2.13934e-04,2.72e+00,-1.20e-01,
2.13936e-04,2.64e+00,-3.60e-01,
2.13938e-04,2.56e+00,-4.80e-01,
2.13940e-04,2.56e+00,-4.40e-01,
2.13942e-04,2.64e+00,-4.00e-01,
2.13944e-04,2.72e+00,-3.20e-01,
2.13946e-04,2.72e+00,-2.20e-01,
2.13948e-04,2.56e+00,-1.20e-01,
2.13950e-04,2.48e+00,1.20e-01,
2.13952e-04,2.56e+00,3.40e-01,
2.13954e-04,2.56e+00,4.00e-01,
2.13956e-04,2.56e+00,4.40e-01,
2.13958e-04,2.48e+00,4.20e-01,
2.13960e-04,2.48e+00,3.80e-01,
2.13962e-04,2.48e+00,3.40e-01,
2.13964e-04,2.40e+00,2.80e-01,
2.13966e-04,2.32e+00,3.20e-01,
2.13968e-04,2.48e+00,2.20e-01,
2.13970e-04,2.64e+00,-6.00e-02,
2.13972e-04,2.56e+00,-3.20e-01,
2.13974e-04,2.56e+00,-4.60e-01,
2.13976e-04,2.56e+00,-4.40e-01,
2.13978e-04,2.56e+00,-4.20e-01,
2.13980e-04,2.80e+00,-3.40e-01,
2.13982e-04,2.72e+00,-2.20e-01,
2.13984e-04,2.56e+00,-1.20e-01,
2.13986e-04,2.48e+00,4.00e-02,
2.13988e-04,2.56e+00,2.60e-01,
2.13990e-04,2.56e+00,4.00e-01,
2.13992e-04,2.56e+00,4.40e-01,
2.13994e-04,2.40e+00,4.20e-01,
2.13996e-04,2.48e+00,4.00e-01,
2.13998e-04,2.48e+00,3.40e-01,
2.14000e-04,2.48e+00,2.80e-01,
2.14002e-04,2.40e+00,3.20e-01,
2.14004e-04,2.48e+00,2.40e-01,
2.14006e-04,2.64e+00,2.00e-02,
2.14008e-04,2.64e+00,-3.00e-01,
2.14010e-04,2.64e+00,-4.60e-01,
2.14012e-04,2.56e+00,-4.80e-01,
2.14014e-04,2.64e+00,-4.20e-01,
2.14016e-04,2.72e+00,-3.60e-01,
2.14018e-04,2.72e+00,-2.80e-01,
2.14020e-04,2.64e+00,-1.60e-01,
2.14022e-04,2.48e+00,2.00e-02,
2.14024e-04,2.48e+00,2.20e-01,
2.14026e-04,2.56e+00,3.80e-01,
2.14028e-04,2.56e+00,4.20e-01,
2.14030e-04,2.48e+00,4.00e-01,
2.14032e-04,2.48e+00,4.20e-01,
2.14034e-04,2.40e+00,3.40e-01,
2.14036e-04,2.32e+00,3.20e-01,
2.14038e-04,2.40e+00,3.00e-01,
2.14040e-04,2.48e+00,2.80e-01,
2.14042e-04,2.56e+00,7.99e-02,
2.14044e-04,2.56e+00,-2.40e-01,
2.14046e-04,2.56e+00,-4.00e-01,
2.14048e-04,2.56e+00,-4.80e-01,
2.14050e-04,2.64e+00,-4.40e-01,
2.14052e-04,2.72e+00,-3.60e-01,
2.14054e-04,2.72e+00,-3.00e-01,
2.14056e-04,2.64e+00,-1.80e-01,
2.14058e-04,2.56e+00,-6.00e-02,
2.14060e-04,2.56e+00,1.60e-01,
2.14062e-04,2.56e+00,3.60e-01,
2.14064e-04,2.56e+00,4.00e-01,
2.14066e-04,2.56e+00,4.40e-01,
2.14068e-04,2.40e+00,4.20e-01,
2.14070e-04,2.48e+00,3.60e-01,
2.14072e-04,2.40e+00,3.20e-01,
2.14074e-04,2.40e+00,2.80e-01,
2.14076e-04,2.32e+00,3.20e-01,
2.14078e-04,2.48e+00,1.60e-01,
2.14080e-04,2.64e+00,-1.60e-01,
2.14082e-04,2.56e+00,-3.80e-01,
2.14084e-04,2.48e+00,-4.80e-01,
2.14086e-04,2.48e+00,-4.20e-01,
2.14088e-04,2.64e+00,-4.20e-01,
2.14090e-04,2.80e+00,-3.00e-01,
2.14092e-04,2.64e+00,-1.80e-01,
2.14094e-04,2.48e+00,-7.99e-02,
2.14096e-04,2.48e+00,1.20e-01,
2.14098e-04,2.56e+00,3.20e-01,
2.14100e-04,2.56e+00,4.00e-01,
2.14102e-04,2.56e+00,4.20e-01,
2.14104e-04,2.48e+00,4.00e-01,
2.14106e-04,2.40e+00,3.80e-01,
2.14108e-04,2.48e+00,3.20e-01,
2.14110e-04,2.40e+00,3.00e-01,
2.14112e-04,2.40e+00,3.20e-01,
2.14114e-04,2.48e+00,2.00e-01,
2.14116e-04,2.56e+00,-6.00e-02,
2.14118e-04,2.56e+00,-4.00e-01,
2.14120e-04,2.64e+00,-4.60e-01,
2.14122e-04,2.56e+00,-4.60e-01,
2.14124e-04,2.72e+00,-4.00e-01,
2.14126e-04,2.72e+00,-3.20e-01,
2.14128e-04,2.72e+00,-2.40e-01,
2.14130e-04,2.64e+00,-1.00e-01,
2.14132e-04,2.48e+00,7.99e-02,
2.14134e-04,2.48e+00,2.80e-01,
2.14136e-04,2.56e+00,4.20e-01,
2.14138e-04,2.56e+00,4.20e-01,
2.14140e-04,2.48e+00,4.20e-01,
2.14142e-04,2.48e+00,4.00e-01,
2.14144e-04,2.40e+00,3.40e-01,
2.14146e-04,2.32e+00,3.20e-01,
2.14148e-04,2.40e+00,3.20e-01,
2.14150e-04,2.56e+00,2.40e-01,
2.14152e-04,2.56e+00,-2.00e-02,
2.14154e-04,2.64e+00,-3.20e-01,
2.14156e-04,2.56e+00,-4.40e-01,
2.14158e-04,2.56e+00,-4.80e-01,
2.14160e-04,2.64e+00,-4.00e-01,
2.14162e-04,2.72e+00,-3.40e-01,
2.14164e-04,2.72e+00,-2.60e-01,
2.14166e-04,2.56e+00,-1.40e-01,
2.14168e-04,2.48e+00,4.00e-02,
2.14170e-04,2.56e+00,2.40e-01,
2.14172e-04,2.56e+00,4.00e-01,
2.14174e-04,2.48e+00,4.00e-01,
2.14176e-04,2.40e+00,4.40e-01,
2.14178e-04,2.48e+00,4.00e-01,
2.14180e-04,2.48e+00,3.40e-01,
2.14182e-04,2.48e+00,3.20e-01,
2.14184e-04,2.40e+00,2.80e-01,
2.14186e-04,2.40e+00,3.00e-01,
2.14188e-04,2.48e+00,6.00e-02,
2.14190e-04,2.64e+00,-2.40e-01,
2.14192e-04,2.56e+00,-4.40e-01,
2.14194e-04,2.48e+00,-4.60e-01,
2.14196e-04,2.56e+00,-4.20e-01,
2.14198e-04,2.80e+00,-3.80e-01,
2.14200e-04,2.72e+00,-2.60e-01,
2.14202e-04,2.56e+00,-1.40e-01,
2.14204e-04,2.56e+00,-2.00e-02,
2.14206e-04,2.48e+00,2.20e-01,
2.14208e-04,2.56e+00,3.80e-01,
2.14210e-04,2.56e+00,4.20e-01,
2.14212e-04,2.56e+00,4.40e-01,
2.14214e-04,2.40e+00,4.00e-01,
2.14216e-04,2.48e+00,3.60e-01,
2.14218e-04,2.40e+00,3.00e-01,
2.14220e-04,2.48e+00,3.00e-01,
2.14222e-04,2.48e+00,3.00e-01,
2.14224e-04,2.56e+00,1.00e-01,
2.14226e-04,2.64e+00,-1.80e-01,
2.14228e-04,2.64e+00,-4.20e-01,
2.14230e-04,2.56e+00,-4.80e-01,
2.14232e-04,2.56e+00,-4.40e-01,
2.14234e-04,2.72e+00,-3.80e-01,
2.14236e-04,2.72e+00,-3.00e-01,
2.14238e-04,2.64e+00,-2.20e-01,
2.14240e-04,2.56e+00,-7.99e-02,
2.14242e-04,2.56e+00,1.60e-01,
2.14244e-04,2.48e+00,3.20e-01,
2.14246e-04,2.56e+00,4.20e-01,
2.14248e-04,2.56e+00,4.20e-01,
2.14250e-04,2.48e+00,4.00e-01,
2.14252e-04,2.40e+00,3.80e-01,
2.14254e-04,2.40e+00,3.00e-01,
2.14256e-04,2.40e+00,3.20e-01,
2.14258e-04,2.40e+00,3.00e-01,
2.14260e-04,2.48e+00,1.80e-01,
2.14262e-04,2.56e+00,-7.99e-02,
2.14264e-04,2.56e+00,-3.80e-01,
2.14266e-04,2.56e+00,-4.60e-01,
2.14268e-04,2.48e+00,-4.80e-01,
2.14270e-04,2.64e+00,-4.00e-01,
2.14272e-04,2.72e+00,-3.20e-01,
2.14274e-04,2.72e+00,-2.20e-01,
2.14276e-04,2.48e+00,-1.00e-01,
2.14278e-04,2.48e+00,1.00e-01,
2.14280e-04,2.64e+00,3.00e-01,
2.14282e-04,2.56e+00,4.20e-01,
2.14284e-04,2.48e+00,4.20e-01,
2.14286e-04,2.40e+00,4.20e-01,
2.14288e-04,2.48e+00,3.80e-01,
2.14290e-04,2.48e+00,3.20e-01,
2.14292e-04,2.48e+00,3.20e-01,
2.14294e-04,2.40e+00,2.80e-01,
2.14296e-04,2.48e+00,2.40e-01,
2.14298e-04,2.56e+00,-7.99e-02,
2.14300e-04,2.64e+00,-3.20e-01,
2.14302e-04,2.56e+00,-4.60e-01,
2.14304e-04,2.48e+00,-4.60e-01,
2.14306e-04,2.64e+00,-4.00e-01,
2.14308e-04,2.72e+00,-3.60e-01,
2.14310e-04,2.72e+00,-2.40e-01,
2.14312e-04,2.56e+00,-1.00e-01,
2.14314e-04,2.40e+00,4.00e-02,
2.14316e-04,2.48e+00,2.80e-01,
2.14318e-04,2.56e+00,3.80e-01,
2.14320e-04,2.64e+00,4.20e-01,
2.14322e-04,2.56e+00,4.40e-01,
2.14324e-04,2.40e+00,3.80e-01,
2.14326e-04,2.48e+00,3.60e-01,
2.14328e-04,2.40e+00,3.00e-01,
2.14330e-04,2.40e+00,3.00e-01,
2.14332e-04,2.40e+00,2.60e-01,
2.14334e-04,2.64e+00,2.00e-02,
2.14336e-04,2.64e+00,-2.60e-01,
2.14338e-04,2.56e+00,-4.40e-01,
2.14340e-04,2.56e+00,-4.60e-01,
2.14342e-04,2.56e+00,-4.20e-01,
2.14344e-04,2.72e+00,-3.60e-01,
2.14346e-04,2.72e+00,-2.60e-01,
2.14348e-04,2.64e+00,-1.80e-01,
2.14350e-04,2.48e+00,0.00e+00,
2.14352e-04,2.56e+00,2.40e-01,
2.14354e-04,2.56e+00,3.60e-01,
2.14356e-04,2.56e+00,4.40e-01,
2.14358e-04,2.48e+00,4.00e-01,
2.14360e-04,2.48e+00,4.00e-01,
2.14362e-04,2.48e+00,3.60e-01,
2.14364e-04,2.40e+00,3.00e-01,
2.14366e-04,2.32e+00,3.20e-01,
2.14368e-04,2.40e+00,2.80e-01,
2.14370e-04,2.64e+00,7.99e-02,
2.14372e-04,2.64e+00,-1.80e-01,
2.14374e-04,2.56e+00,-4.20e-01,
2.14376e-04,2.48e+00,-4.40e-01,
2.14378e-04,2.48e+00,-4.60e-01,
2.14380e-04,2.64e+00,-3.80e-01,
2.14382e-04,2.72e+00,-2.80e-01,
2.14384e-04,2.72e+00,-1.80e-01,
2.14386e-04,2.40e+00,-4.00e-02,
2.14388e-04,2.56e+00,1.60e-01,
2.14390e-04,2.64e+00,3.40e-01,
2.14392e-04,2.56e+00,4.20e-01,
2.14394e-04,2.48e+00,4.20e-01,
2.14396e-04,2.48e+00,4.20e-01,
2.14398e-04,2.48e+00,3.80e-01,
2.14400e-04,2.48e+00,3.20e-01,
2.14402e-04,2.40e+00,3.00e-01,
2.14404e-04,2.40e+00,3.00e-01,
2.14406e-04,2.56e+00,1.80e-01,
2.14408e-04,2.56e+00,-1.60e-01,
2.14410e-04,2.64e+00,-4.00e-01,
2.14412e-04,2.56e+00,-4.80e-01,
2.14414e-04,2.48e+00,-4.60e-01,
2.14416e-04,2.64e+00,-3.80e-01,
2.14418e-04,2.72e+00,-3.20e-01,
